"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_1A_007666",8427.37474184814,-7.04337276662569,0.158062547501379,-44.5606684060577,0,0
"Et_1B_012646",5738.90997110807,-6.25541938830245,0.156067418627691,-40.0815201744648,0,0
"Et_4A_034104",7402.04397035551,-7.71358251489822,0.161895522794295,-47.6454344243919,0,0
"Et_4B_037456",5606.72758860666,-7.47874098466776,0.1738502719183,-43.0182875306768,0,0
"Et_2B_022256",56835.1514966759,7.38353867032672,0.199452224972514,37.0190840004128,5.64790390721365e-300,4.78038586706563e-296
"Et_3B_028368",23964.1610886021,7.59857667901533,0.214201514619365,35.4739633495027,1.23921643564954e-275,8.7406065927814e-272
"Et_4B_039463",42383.8446959609,7.67858864193609,0.219740275277049,34.9439292922288,1.60122546474053e-267,9.68055166683134e-264
"Et_3A_023255",22054.0000582624,7.61039287184051,0.217989700894563,34.9117084000289,4.93866835277615e-267,2.61255555861858e-263
"Et_4A_033088",39570.2563718895,7.53167761097189,0.216455021594506,34.7955781089768,2.83719463975062e-265,1.33411196838051e-261
"Et_10A_000633",5940.96544509959,7.84535596759524,0.226289237506489,34.669593896927,2.26375362802701e-263,9.5802053538103e-260
"Et_4B_036051",44228.3923219758,7.49513352061883,0.217570546489059,34.4492103438079,4.62723373180158e-260,1.78022301390766e-256
"Et_9A_060968",10828.3712409515,7.58692376017646,0.222374982852584,34.1177036321841,4.03047050701287e-255,1.42141259880654e-251
"Et_1A_007758",5287.24845508854,7.56576856697888,0.228168581786852,33.158678148101,4.24624847083694e-241,1.3823171945063e-237
"Et_5A_041542",11021.0289291034,7.53367954018763,0.227406025476629,33.1287595585803,1.14564198278212e-240,3.46311205080996e-237
"Et_3B_027767",27518.5433015344,7.43613960596171,0.224582385837022,33.1109653958262,2.0664696688395e-240,5.83019975901918e-237
"Et_9B_065994",7368.28380309747,8.09676922061791,0.246209917886086,32.8856338937736,3.5270398255214e-237,9.32902033850411e-234
"Et_4B_036481",8889.76497962949,7.64910176797564,0.235206012302987,32.520859875479,5.408445261722e-232,1.34638472632985e-228
"Et_2B_022038",22526.5441148778,7.57516482574111,0.233352154190261,32.4623736687889,3.62366026087868e-231,8.51962790224365e-228
"Et_5B_043323",2221.72991091019,-7.38230679099324,0.228511859277099,-32.306011663234,5.75915609535972e-229,1.2827762418717e-225
"Et_1A_004856",1562.15697656866,-6.34212632365836,0.196762026587975,-32.2324710394396,6.19399709483536e-228,1.31064978526716e-224
