Geneid,LR_S1,LR_S2,LR_S3,LR_S4,LS_S5,LS_S6,LS_S7,LS_S8,HR_S9,HR_S10,HR_S11,HR_S12,HS_S13,HS_S14,HS_S15,HS_S16
Et_10A_000405,199,355,424,327,542,350,483,386,533,808,648,459,973,727,762,706
Et_10A_001890,53,71,107,90,435,473,544,295,134,199,99,107,687,674,592,458
Et_10A_000406,628,1061,1453,1153,536,467,658,629,1730,2672,2239,1794,933,889,767,878
Et_10A_000409,222,374,440,350,435,244,407,314,531,918,437,699,501,474,501,692
Et_10A_000410,43,92,98,88,122,87,79,160,141,214,194,149,98,96,67,155
Et_10A_000407,167,307,455,324,435,255,470,308,532,789,497,605,623,596,559,700
Et_10A_001888,226,358,304,327,128,176,82,131,284,445,332,260,93,152,119,110
Et_10A_001889,1,0,1,0,0,4,1,1,1,0,1,0,2,0,0,2
Et_10A_000411,118,125,197,165,861,632,1264,521,404,578,255,383,2820,2026,3193,1847
Et_10A_000412,3,5,9,1,7,35,18,18,45,54,6,24,3,6,3,8
Et_10A_000408,92,151,218,161,140,100,148,107,357,539,167,415,206,196,182,308
Et_10A_000417,20,50,58,58,21,28,32,42,75,105,53,87,18,20,8,41
Et_10A_000418,2,3,1,0,0,3,1,3,0,1,2,0,1,2,2,1
Et_10A_000414,0,3,0,1,0,3,0,1,0,1,0,3,0,0,0,1
Et_10A_000413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Et_10A_000415,1,1,1,2,0,3,1,1,0,0,0,1,2,0,1,0
Et_10A_000419,52,54,60,41,4,21,5,17,60,102,77,124,11,6,4,18
Et_10A_001892,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,1
Et_10A_000420,79,174,185,183,145,140,83,131,185,235,169,154,70,92,63,105
Et_10A_000131,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Et_10A_000421,394,792,877,654,145,132,137,123,904,1238,855,860,127,115,107,187
Et_10A_001893,19,16,32,32,8,37,18,32,29,35,21,27,1,2,3,1
Et_10A_001894,13,9,12,14,11,28,19,49,22,32,22,25,1,0,5,0
Et_10A_000422,750,1072,1209,1272,353,449,400,562,1046,1404,942,1099,443,371,393,514
Et_10A_000416,334,439,337,413,138,120,102,138,342,506,349,327,57,78,65,115
Et_10A_001891,100,164,225,154,170,108,135,112,242,265,312,204,208,192,167,180
Et_10A_000423,14,27,20,28,39,28,25,41,48,57,38,48,43,41,40,53
Et_10A_000424,121,181,243,211,158,61,46,206,340,440,258,230,42,43,31,42
Et_10A_000993,57,102,143,104,138,87,101,124,173,245,243,159,130,135,124,135
Et_10A_002036,60,90,70,64,1207,1097,847,684,30,52,48,19,1502,1658,1097,862
Et_10A_000251,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0
Et_10A_000994,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Et_10A_000995,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
Et_10A_000991,16,54,28,25,16,5,1,56,33,58,59,19,1,2,2,0
Et_10A_000992,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Et_10A_002034,40,77,79,85,16,23,15,36,46,61,58,24,3,4,8,6
Et_10A_002035,499,715,751,733,125,226,118,253,650,993,778,625,24,34,29,59
Et_10A_002168,1,0,0,0,1,1,0,0,0,4,0,0,0,1,1,1
Et_10A_002169,21,24,19,18,5348,5016,4372,3246,12,31,26,20,3684,5179,2304,5061
Et_10A_001420,533,563,587,658,438,746,411,834,356,489,663,354,244,268,228,243
Et_10A_001421,185,288,269,269,177,135,223,139,418,544,547,368,222,205,176,214
Et_10A_001422,594,1008,896,805,516,473,454,670,999,1436,1391,849,611,555,464,626
Et_10A_002174,0,0,2,0,22,18,20,5,3,1,2,2,71,49,40,23
Et_10A_002170,1133,1814,2455,2022,628,424,531,424,3157,4150,3571,2909,717,596,471,471
Et_10A_001424,7,12,8,12,3,1,2,4,17,23,18,18,0,3,0,1
Et_10A_001423,2,7,6,1,1,0,1,0,6,7,11,5,0,2,0,0
Et_10A_002175,254,390,431,383,333,347,358,357,554,951,699,534,496,362,421,481
Et_10A_002171,102,126,68,86,62,134,86,125,97,116,103,103,37,48,41,71
Et_10A_001425,29,81,32,47,71,24,12,79,77,103,136,28,10,16,11,10
Et_10A_001426,143,151,156,202,164,432,185,360,177,245,319,187,161,218,217,262
Et_10A_002172,61,52,109,58,82,208,155,175,26,37,139,60,15,12,48,34
Et_10A_002176,0,0,1,0,25,23,22,30,1,0,0,0,38,25,24,20
Et_10A_002173,32,43,37,33,24,37,26,30,37,60,45,20,29,36,29,22
Et_10A_002197,12,16,9,13,16,20,12,19,19,36,29,22,10,7,19,5
Et_10A_001492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Et_10A_001486,3,2,0,0,1,2,0,1,2,0,0,1,0,0,0,0
Et_10A_002193,166,223,226,154,57,53,48,84,175,303,242,225,5,19,3,39
Et_10A_002192,17,8,4,3,20,8,10,12,3,0,7,3,0,0,2,2
Et_10A_001487,18,17,35,17,104,98,141,50,48,71,68,41,211,218,208,184
Et_10A_000109,0,1,2,3,0,2,1,4,0,0,0,1,0,0,2,0
Et_10A_001488,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
Et_10A_002194,2,0,1,0,4,0,0,4,0,0,1,1,0,0,0,2
Et_10A_000108,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0
Et_10A_001489,57,130,100,108,74,43,44,78,127,214,127,83,45,39,35,63
Et_10A_001490,140,272,347,239,3,8,12,5,252,705,120,549,12,10,9,16
Et_10A_001491,10,13,27,32,14,6,26,15,16,15,14,15,36,37,33,24
Et_10A_001493,428,568,534,619,351,330,483,280,420,565,478,359,600,545,678,424
Et_10A_002195,2,0,1,0,1,0,1,3,4,1,3,4,6,1,5,2
Et_10A_002196,1089,1404,1146,1191,217,440,302,367,1115,1492,1530,913,125,158,119,114
Et_10A_000354,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Et_10A_001552,0,1,0,0,0,3,0,0,0,4,0,1,0,0,0,0
Et_10A_001553,0,4,3,1,1,2,0,0,2,1,2,0,1,0,1,1
Et_10A_001554,271,406,367,355,210,192,229,262,565,778,581,574,217,277,185,313
Et_10A_001557,92,136,104,97,35,32,43,45,220,262,157,151,51,38,36,51
Et_10A_001555,0,1,2,0,1,6,0,0,2,5,0,1,2,4,1,6
Et_10A_002232,6605,7716,11404,10520,5122,6389,6338,7776,14280,24431,11574,17475,5260,6820,5677,11355
Et_10A_001556,66,147,108,123,69,47,89,108,148,173,170,131,58,58,58,110
Et_10A_000370,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Et_10A_002260,5,4,2,3,0,2,1,4,1,3,2,1,1,1,1,1
Et_10A_002261,5,2,0,7,1,2,0,3,1,4,1,2,0,3,2,6
Et_10A_001610,158,281,358,233,308,183,293,249,469,636,427,555,446,450,371,544
Et_10A_002280,93,173,152,169,13,62,21,39,129,136,254,136,26,16,43,26
Et_10A_002281,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
Et_10A_001691,222,394,416,352,517,354,643,313,659,835,706,531,819,669,737,706
Et_10A_001693,213,366,346,276,239,192,260,220,501,691,665,416,407,343,359,341
Et_10A_001695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Et_10A_001694,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Et_10A_000120,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Et_10A_000383,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Et_10A_000384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Et_10A_001697,4,19,14,11,1,3,0,0,14,19,22,12,9,0,3,9
